GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m)
다사492449,37.50242346,126.9258245,436,신대방삼거리,367.63
다사499451,37.50426433,126.9337302,248,장승배기,471.5
다사524454,37.50710051,126.9619948,97,흑석,252.58
다사513452,37.50524052,126.9495626,153,상도,307.42
다사539422,37.47833402,126.9791662,253,사당,295.43
다사503441,37.49527271,126.9383231,321,신대방삼거리,1019.28
다사502458,37.51058981,126.9370769,232,장승배기,661.5
다사479434,37.48883126,126.9112234,211,신대방,231.74
다사529429,37.48459294,126.9678117,240,남성,291.04
다사493449,37.50242895,126.9269558,364,신대방삼거리,321.46
다사515448,37.50164575,126.9518517,252,상도,367.03
다사514450,37.50344314,126.9507072,411,상도,253.92
다사530451,37.50442726,126.9688024,7,흑석,695.84
다사480440,37.49424482,126.9123121,511,보라매공원,530.88
다사507446,37.49980076,126.9428145,171,상도,561.82
