대중교통,역(정류장),호선(명),노선(수),지하철 여부(Y/N),버스 여부(Y/N),따릉이 여부(Y/N),x_좌표,y_좌표,동 이름,GID,대여소번호,NODE_ID,ARS_ID,지번_주소,도로명_주소,일평균승차승객수,일평균하차승객수,일평균총승객수,월승차승객수,월하차승객수,월이용객수
버스,보라매병원입구,,11,N,Y,N,126.927191,37.494757,신대방동,11590109,,119000095,20188,서울 동작구 신대방동 344-225,,82.59,126.34,208.93,26594,1875,67274
버스,대방역.여의교앞,,1,N,Y,N,126.92733,37.514757,대방동,11590108,,119000291,20249,서울 동작구 대방동 498-1,,10.63,117.9,128.53,319,1875,3856
버스,대방역1번출구,,1,N,Y,N,126.9274282,37.51306991,대방동,11590108,,119900186,20741,서울 동작구 대방동 106-5,,29.43,332.9,362.33,883,1875,10870
버스,대방역1번출구앞,,2,N,Y,N,126.927473,37.513095,대방동,11590108,,119000295,20248,서울 동작구 대방동 106-5,,560.03,135.65,695.68,33602,1875,41741
버스,대방역2번출구앞,,4,N,Y,N,126.927588,37.51277896,대방동,11590108,,119900151,20834,서울 동작구 대방동 340-3,서울특별시 동작구 노량진로 10 (대방동),434.22,205.1,639.32,39080,1875,57539
버스,여의교(가상),,19,N,Y,N,126.9276683,37.51480272,대방동,11590108,,119000311,20905,서울 동작구 대방동 498-1,,241.28,120.09,361.37,36193,1875,54207
버스,신대방삼거리,,10,N,Y,N,126.9278411,37.49777487,신대방동,11590109,,119000093,20186,서울 동작구 신대방동 345-3,서울특별시 동작구 보라매로 93 (신대방동),80.37,33.46,113.83,23229,1875,32899
버스,강현중학교,,1,N,Y,N,126.9278709,37.50206774,대방동,11590108,,119900264,20528,서울 동작구 대방동 466-10,,37.37,100.73,138.1,1121,1875,4143
버스,신대방삼거리역.성대시장,,1,N,Y,N,126.9279312,37.49822547,신대방동,11590109,,119900093,20909,서울 동작구 신대방동 350-2,서울특별시 동작구 보라매로 101 (신대방동),188.7,55.43,244.13,5661,1875,7324
버스,신대방삼거리역,,1,N,Y,N,126.928182,37.4999673,대방동,11590108,,119900073,20513,서울 동작구 대방동 393-65,서울특별시 동작구 상도로 69 (대방동),427.62,112.62,540.23,25657,1875,32414
버스,신대방삼거리,,11,N,Y,N,126.928253,37.498328,신대방동,11590109,,119000094,20187,서울 동작구 신대방동 345-6,서울특별시 동작구 보라매로 95-2 (신대방동),166.45,211.62,378.07,53597,1875,121739
버스,7호선신대방삼거리역2번출구.국민은행,,2,N,Y,N,126.928419,37.498966,대방동,11590108,,119900004,20674,서울 동작구 대방동 408-6,서울특별시 동작구 국사봉길 1-2 (대방동),77.9,276.07,353.97,4674,1875,21238
버스,7호선신대방삼거리역2번출구.국민은행,,1,N,Y,N,126.928523,37.498836,신대방동,11590109,,119900225,20943,서울 동작구 신대방동 355-26,서울특별시 동작구 국사봉길 12 (신대방동),358.5,16.1,374.6,10755,1875,11238
버스,대방동주공아파트,,3,N,Y,N,126.92888,37.50905279,대방동,11590108,,119900269,20940,서울 동작구 대방동 503-2,,113.54,126.51,240.05,17031,1875,36008
버스,주공아파트.남도학숙,,1,N,Y,N,126.9289889,37.50870233,대방동,11590108,,119900265,20590,서울 동작구 대방동 20-112,서울특별시 동작구 여의대방로44길 46 (대방동),295.8,228.37,524.17,8874,1875,15725
버스,숭의여중고교.공군항공안전단,,2,N,Y,N,126.929696,37.50738263,대방동,11590108,,119900139,20850,서울 동작구 대방동 15-10,서울특별시 동작구 여의대방로36길 92 (대방동),8.03,43.18,51.22,482,1875,3073
버스,상도3동주민센터,,1,N,Y,N,126.9298934,37.49950352,대방동,11590108,,119900282,20988,서울 동작구 대방동 336-5,,18.37,43.03,61.4,551,1875,1842
버스,숭의여중.고교,,1,N,Y,N,126.9299523,37.50791444,대방동,11590108,,119900008,20598,서울 동작구 대방동 15-46,서울특별시 동작구 여의대방로36길 79 (대방동),58.7,32.7,91.4,1761,1875,2742
버스,푸른초장교회,,1,N,Y,N,126.9300251,37.4977131,신대방동,11590109,,119900224,20944,서울 동작구 신대방동 348-85,서울특별시 동작구 국사봉길 42 (신대방동),6.4,12.4,18.8,192,1875,564
버스,푸른초장교회,,2,N,Y,N,126.9300612,37.49781765,상도동,11590102,,119900011,20594,서울 동작구 상도동 320-9,,4.82,43.32,48.13,289,1875,2888
버스,숭의여중고교.공군항공안전단,,3,N,Y,N,126.9301467,37.50799926,대방동,11590108,,119900228,20939,서울 동작구 대방동 503-2,,20.94,59.97,80.91,1885,1875,7282
버스,백경세탁소,,1,N,Y,N,126.9307149,37.49659074,상도동,11590102,,119900223,20945,서울 동작구 상도동 299-58,서울특별시 동작구 국사봉길 74 (상도동),7,38,45,210,1875,1350
버스,백경세탁소,,2,N,Y,N,126.9308348,37.49664487,상도동,11590102,,119900015,20586,서울 동작구 상도동 298-13,서울특별시 동작구 국사봉길 71 (상도동),55.57,6.75,62.32,3334,1875,3739
버스,성대시장,,10,N,Y,N,126.9309086,37.49999612,상도동,11590102,,119000054,20147,서울 동작구 상도동 329-2,,237.13,252.3,489.43,64024,1875,132145
버스,상도3동주민센터,,1,N,Y,N,126.9312735,37.49917272,상도동,11590102,,119900248,20591,서울 동작구 상도동 315-37,서울특별시 동작구 성대로2길 11 (상도동),21.13,109.13,130.27,634,1875,3908
버스,현대아파트,,18,N,Y,N,126.931437,37.513174,대방동,11590108,,119000007,20007,서울 동작구 대방동 54-2,,137.62,124.63,262.26,68811,1875,131128
버스,성대시장,,10,N,Y,N,126.931693,37.500285,상도동,11590102,,119000055,20148,서울 동작구 상도동 325-14,,349.69,225.28,574.96,94415,1875,155240
버스,현대아파트,,4,N,Y,N,126.931932,37.512343,대방동,11590108,,119900230,20934,서울 동작구 대방동 23-2,서울특별시 동작구 대방동23길 23-2 (대방동),140.69,39.4,180.09,16883,1875,21611
버스,빙수골공영주차장,,1,N,Y,N,126.932011,37.49529931,상도동,11590102,,119900222,20946,서울 동작구 상도동 299-16,서울특별시 동작구 국사봉12길 11 (상도동),9.33,87.47,96.8,280,1875,2904
버스,현대2차아파트후문,,4,N,Y,N,126.932045,37.510707,대방동,11590108,,119900313,20501,서울 동작구 대방동 23-2,서울특별시 동작구 대방동23길 23-2 (대방동),18.13,29.8,47.93,2176,1875,5752
버스,현대아파트,,2,N,Y,N,126.9320468,37.51205262,대방동,11590108,,119900203,20695,서울 동작구 대방동 23-2,서울특별시 동작구 대방동23길 23-2 (대방동),17.87,91.17,109.03,1072,1875,6542
버스,남부교회,,4,N,Y,N,126.932072,37.50919524,대방동,11590108,,119900171,20804,서울 동작구 대방동 17-5,서울특별시 동작구 대방동3길 17-5 (대방동),87.58,57.21,144.79,10510,1875,17375
버스,빙수골마을공원,,1,N,Y,N,126.9321117,37.4965519,상도동,11590102,,119900019,20581,서울 동작구 상도동 292-56,,27.73,3.27,31,832,1875,930
버스,빙수골공영주차장,,2,N,Y,N,126.9321581,37.49527957,상도동,11590102,,119900025,20575,서울 동작구 상도동 289-9,,59.75,4.08,63.83,3585,1875,3830
버스,남부교회,,2,N,Y,N,126.9322871,37.50897099,대방동,11590108,,119900200,20700,서울 동작구 대방동 17-21,서울특별시 동작구 등용로 86-1 (대방동),121.55,97.32,218.87,7293,1875,13132
버스,성대시장,,2,N,Y,N,126.932299,37.500081,상도동,11590102,,119900127,20866,서울 동작구 상도동 345-13,,574.63,209.58,784.22,34478,1875,47053
버스,현대아파트.유한양행,,18,N,Y,N,126.9323737,37.51323685,대방동,11590108,,119000008,20008,서울 동작구 대방동 48-3,,62.29,70.93,133.22,30149,1875,64479
버스,대방목욕탕,,1,N,Y,N,126.9323906,37.50710487,대방동,11590108,,119900206,20684,서울 동작구 대방동 11-29,서울특별시 동작구 등용로 66 (대방동),35,71.3,106.3,1050,1875,3189
버스,구동사무소,,1,N,Y,N,126.9324299,37.49610964,상도동,11590102,,119900029,20570,서울 동작구 상도동 292-60,서울특별시 동작구 국사봉1길 125 (상도동),0.43,1.52,1.95,9,1875,41
버스,현대한의원,,2,N,Y,N,126.932562,37.50015927,상도동,11590102,,119900007,20599,서울 동작구 상도동 248-16,서울특별시 동작구 성대로1길 2 (상도동),213.5,44.37,257.87,12810,1875,15472
버스,선재유통,,1,N,Y,N,126.9327547,37.49455452,상도동,11590102,,119900221,20947,서울 동작구 상도동 299-156,서울특별시 동작구 국사봉16길 4 (상도동),20.3,129.1,149.4,609,1875,4482
버스,선재유통,,2,N,Y,N,126.9328022,37.49465817,상도동,11590102,,119900034,20564,서울 동작구 상도동 289-33,"서울특별시 동작구 국사봉길 125 (상도동, 진명빌라)",104.07,27.28,131.35,6244,1875,7881
버스,쌍용아파트,,2,N,Y,N,126.932986,37.50150396,상도동,11590102,,119900130,20862,서울 동작구 상도동 345-12,,9.6,58.87,68.47,576,1875,4108
버스,사회복지관앞,,1,N,Y,N,126.9330781,37.50606719,대방동,11590108,,119900005,20673,서울 동작구 대방동 5-23,,55.37,40.53,95.9,1661,1875,2877
버스,사회복지관앞,,1,N,Y,N,126.9330952,37.5059023,대방동,11590108,,119900157,20825,서울 동작구 대방동 5-2,"서울특별시 동작구 등용로 49 (대방동, 정원쉐르빌)",47.33,90.57,137.9,1420,1875,4137
버스,청운종합복지관,,1,N,Y,N,126.9334403,37.49556685,상도동,11590102,,119900041,20556,서울 동작구 상도동 292-56,,55.73,15.5,71.23,1672,1875,2137
버스,영은교회,,1,N,Y,N,126.9339921,37.4943795,상도동,11590102,,119900220,20948,서울 동작구 상도동 287-4,서울특별시 동작구 국사봉길 156 (상도동),2.27,36.4,38.67,68,1875,1160
버스,영은교회,,2,N,Y,N,126.934095,37.49439578,상도동,11590102,,119900046,20550,서울 동작구 상도동 285-25,,37.3,11.75,49.05,2238,1875,2943
버스,성심슈퍼,,1,N,Y,N,126.9344156,37.49514297,상도동,11590102,,119900052,20543,서울 동작구 상도동 282-28,,34.8,14.13,48.93,1044,1875,1468
버스,KT동작지사,,1,N,Y,N,126.9344731,37.51218014,대방동,11590108,,119900197,20703,서울 동작구 대방동 45-14,서울특별시 동작구 등용로4길 139 (대방동),15.23,32.1,47.33,457,1875,1420
버스,갑을명가아파트,,1,N,Y,N,126.9344802,37.49360122,상도동,11590102,,119900219,20949,서울 동작구 상도동 458,"서울특별시 동작구 국사봉길 178 (상도동, 상도1차 갑을명가아파트)",6.5,51.1,57.6,195,1875,1728
버스,동광교회,,2,N,Y,N,126.9344857,37.50155436,상도동,11590102,,119900249,20681,서울 동작구 상도동 242-62,서울특별시 동작구 성대로1길 24 (상도동),74.8,26.92,101.72,4488,1875,6103
버스,강현중학교.동작청소년문화의집,,2,N,Y,N,126.9345123,37.50300042,상도동,11590102,,119900125,20868,서울 동작구 상도동 361-19,서울특별시 동작구 상도로15길 55 (상도동),15.25,79.2,94.45,915,1875,5667
버스,안일약국,,2,N,Y,N,126.9345558,37.49776166,상도동,11590102,,119900113,20883,서울 동작구 상도동 259-35,서울특별시 동작구 성대로 72 (상도동),18.08,86.68,104.77,1085,1875,6286
버스,KT동작전화국,,1,N,Y,N,126.9345611,37.51236942,대방동,11590108,,119900145,20843,서울 동작구 대방동 45-51,,12.6,19.17,31.77,378,1875,953
버스,갑을명가아파트,,2,N,Y,N,126.934574,37.49369409,상도동,11590102,,119900057,20537,서울 동작구 상도동 459,"서울특별시 동작구 국사봉길 175 (상도동, 상도2차갑을명가아파트)",45.07,12.77,57.83,2704,1875,3470
