GID,위도,경도,생활인구수,지하철역까지거리(m),격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선(수),"인가대수(대, 합계)","배차간격(분, 평균)","최소배차(분, 평균)","최대배차(분, 평균)",총하차인원_lr
다사491449,37.50241796,126.9246931,391,417.66,0,대방동,34112,2,10,22,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7947.555993144304
다사522451,37.50438621,126.9597515,307,613.38,0,흑석동,30047,1,9,18,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7416.984407546011
다사491456,37.5087272,126.9246447,733,374.02,0,대방동,34112,5,12,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8428.220411041433
다사509456,37.50882464,126.9450104,407,556.04,0,노량진동,30270,4,12,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9475.555607588163
다사494460,37.51234896,126.9280115,306,146.33,0,대방동,34112,4,9,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11739.524459520915
다사492443,37.49701553,126.9258659,408,365.09,0,신대방동,45025,1,9,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8332.567220877869
다사492454,37.50693006,126.9257899,276,309.53,0,대방동,34112,2,7,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10018.820159107558
다사535424,37.48011665,126.9746297,314,595.77,0,사당동,95821,0,0,2,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12421.837839097487
다사496443,37.49703744,126.9303909,397,354.29,0,상도동,114034,5,16,29,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10736.986723774542
다사529454,37.50712614,126.9676518,294,425.54,0,흑석동,30047,3,8,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11788.15625490354
다사498443,37.49704833,126.9326534,429,491.08,0,상도동,114034,3,16,26,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9156.002247968518
다사475433,37.48790731,126.906706,501,581.43,0,신대방동,45025,3,11,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8986.131524914386
다사478438,37.4924309,126.9100639,310,613.97,0,신대방동,45025,1,4,10,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9685.838044292303
다사515453,37.50615237,126.9518187,264,506.27,0,상도1동,9802,3,15,22,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8296.823869641794
다사511458,37.5106379,126.9472599,260,414.24,0,노량진동,30270,0,5,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7719.779804177824
다사501441,37.49526193,126.9360607,383,850.94,0,상도동,114034,7,21,31,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8462.768022839984
다사531433,37.48820842,126.9700484,459,402.46,0,사당동,95821,0,6,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8635.456224080299
다사531435,37.49001108,126.9700357,280,599.41,0,사당동,95821,2,7,10,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12044.331994083177
다사506450,37.50340071,126.9416564,626,282.26,0,상도동,114034,0,13,24,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7874.310228275803
다사511448,37.50162466,126.9473264,281,140.74,0,상도동,114034,6,13,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,15446.216789580592
다사512456,37.50884054,126.9484047,439,603.06,0,노량진동,30270,2,13,24,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,5923.462782094213
